nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
rachelruff1/react-3-afternoon-2,https://github.com/rachelruff1/react-3-afternoon-2,2018-01-31T05:17:40+09,2018-01-31T07:59:38+09,1,1034,382,0,0,0,0
joshborup/react-3-afternoon-2,https://github.com/joshborup/react-3-afternoon-2,2018-01-31T05:24:36+09,2018-01-31T07:34:42+09,1,182,25,0,0,0,0
miemajor/react-3-afternoon-2,https://github.com/miemajor/react-3-afternoon-2,2018-01-31T06:06:24+09,2018-01-31T08:37:29+09,1,118,36,0,0,0,0
jordanmbush/react-3-afternoon-2,https://github.com/jordanmbush/react-3-afternoon-2,2018-01-31T06:12:08+09,2018-01-31T10:19:46+09,1,168,44,0,0,0,0
RyanStupey-wpx3/react-3-afternoon-2,https://github.com/RyanStupey-wpx3/react-3-afternoon-2,2018-01-31T10:33:00+09,2018-01-31T11:04:50+09,1,581,19,0,0,1,0
BrandonMase/react-3-afternoon-2,https://github.com/BrandonMase/react-3-afternoon-2,2018-01-31T12:02:39+09,2018-01-31T12:25:41+09,1,169,35,0,0,0,0
mcgagnier/react-3-afternoon-2,https://github.com/mcgagnier/react-3-afternoon-2,2018-01-31T22:46:37+09,2018-01-31T23:25:06+09,1,34,13,0,0,0,0
shanetidwell/react-3-afternoon-2,https://github.com/shanetidwell/react-3-afternoon-2,2018-02-01T01:05:08+09,2018-02-13T10:25:34+09,1,214,943,0,0,0,0
wanglin2331/react-3-afternoon-2,https://github.com/wanglin2331/react-3-afternoon-2,2018-02-01T07:05:57+09,2018-02-01T09:47:25+09,1,230,956,0,0,0,0
banderson19/react-3-afternoon-2,https://github.com/banderson19/react-3-afternoon-2,2018-02-01T14:00:06+09,2018-02-13T11:21:44+09,2,312,957,0,0,0,0
jgfdevmtn/react-3-afternoon-2,https://github.com/jgfdevmtn/react-3-afternoon-2,2018-02-02T06:32:01+09,2018-02-10T07:50:37+09,2,3,3,1,1,0,0
BlairBryant/react-3-afternoon-2,https://github.com/BlairBryant/react-3-afternoon-2,2018-02-07T05:42:23+09,2018-02-07T07:53:35+09,1,110,23,0,0,0,0
Devinbeth/react-3-afternoon-2,https://github.com/Devinbeth/react-3-afternoon-2,2018-02-07T05:56:22+09,2018-02-07T07:53:29+09,1,150,930,0,0,0,0
asemle/react-3-afternoon-2,https://github.com/asemle/react-3-afternoon-2,2018-02-07T06:02:15+09,2018-02-07T09:18:51+09,1,171,39,0,0,0,0
amantina05/react-3-afternoon-2,https://github.com/amantina05/react-3-afternoon-2,2020-01-09T09:35:00+09,2020-01-10T02:36:42+09,1,2977,2720,0,0,0,0
