nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
tcscheurer/react-2-afternoon,https://github.com/tcscheurer/react-2-afternoon,2018-01-28T08:27:25+09,2018-01-28T12:44:18+09,1,8346,40,0,0,4,0
BrandonMase/react-2-afternoon,https://github.com/BrandonMase/react-2-afternoon,2018-01-28T13:05:59+09,2018-01-29T12:50:46+09,1,9184,26,0,0,1,0
mcgagnier/react-2-afternoon,https://github.com/mcgagnier/react-2-afternoon,2018-01-29T03:36:15+09,2018-01-29T23:00:22+09,1,8737,2,0,0,1,0
RyanD860/react-2-afternoon,https://github.com/RyanD860/react-2-afternoon,2018-01-29T04:48:52+09,2018-01-30T11:53:14+09,1,9676,271,0,0,1,0
XavierCarpenter/react-2-afternoon,https://github.com/XavierCarpenter/react-2-afternoon,2018-01-29T08:31:27+09,2018-01-30T08:03:33+09,1,8207,143,0,0,1,0
Jaquin92/react-2-afternoon,https://github.com/Jaquin92/react-2-afternoon,2018-01-29T09:04:14+09,2018-01-30T09:08:43+09,1,9867,330,0,0,1,0
dpacker360/react-2-afternoon,https://github.com/dpacker360/react-2-afternoon,2018-01-30T03:27:41+09,2018-01-30T07:50:51+09,1,9056,90,0,0,1,0
saradaniellesmith/react-2-afternoon,https://github.com/saradaniellesmith/react-2-afternoon,2018-01-30T04:06:50+09,2018-01-30T08:07:18+09,1,8807,17,0,0,1,0
tiffanyls/react-2-afternoon,https://github.com/tiffanyls/react-2-afternoon,2018-01-30T04:21:44+09,2018-01-30T07:40:09+09,5,8804,17,0,0,1,0
LoganSimonsen/react-2-afternoon,https://github.com/LoganSimonsen/react-2-afternoon,2018-01-30T05:50:45+09,2018-01-30T08:06:41+09,1,7988,30,0,0,4,0
michaelStillwell/react-2-afternoon,https://github.com/michaelStillwell/react-2-afternoon,2018-01-30T05:51:16+09,2018-01-30T09:17:52+09,1,8106,15,0,0,4,0
Garrettcraig4/react-2-afternoon,https://github.com/Garrettcraig4/react-2-afternoon,2018-01-30T05:52:23+09,2018-01-30T09:15:38+09,1,9143,129,0,0,1,0
Jpecina/react-2-afternoon,https://github.com/Jpecina/react-2-afternoon,2018-01-30T05:53:16+09,2018-02-15T04:57:58+09,4,8797,15,0,0,1,0
zcericola/react-2-afternoon,https://github.com/zcericola/react-2-afternoon,2018-01-30T05:55:32+09,2018-01-30T08:05:29+09,1,823,191,0,0,0,0
garmeil/react-2-afternoon,https://github.com/garmeil/react-2-afternoon,2018-01-30T05:57:30+09,2018-01-30T11:10:43+09,1,1285,324,0,0,3,0
